"popularity","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
30,203360,0,0.653,118.05,37,31
32,178693,0,0.558,107.862,37,31
41,138875,0,0.857,84.997,106,41
55,38144,0,0.629,93.937,15,55
22,182733,0,0.539,145.431,19,22
22,407480,0,0.724,100.421,19,22
24,237480,1,0.608,107.502,59,24.4
25,242800,0,0.607,102.051,59,24.4
26,212906,1,0.591,139.897,59,24.4
25,222226,0,0.636,95.06,59,24.4
22,262520,1,0.607,136.511,59,24.4
22,447386,0,0.508,105.014,59,22
0,262333,0,0.546,104.083,6,16
32,260506,1,0.47,127.911,6,16
0,260693,0,0.538,134.014,64,16
32,241173,1,0.554,97.472,6,16
65,298663,0,0.607,164.993,63,65
44,115200,0,0.662,74.995,106,44
31,242626,0,0.537,154.014,62,31.625
30,253626,0,0.547,197.712,62,31.625
36,251493,0,0.5,163.998,63,31.625
31,215566,0,0.592,95.993,62,31.625
32,291840,0,0.504,158.007,64,31.625
24,83386,0,0.411,142.019,62,31.625
18,210053,0,0.493,175.054,62,31.625
34,224680,0,0.577,96.467,64,31.625
36,230586,0,0.538,95.029,62,31.625
26,211613,0,0.537,161.998,62,31.625
33,283640,0,0.503,159.022,64,31.625
37,323186,0,0.424,173.948,62,31.625
36,230586,0,0.538,95.029,64,31.625
38,246546,0,0.415,158.048,63,31.625
33,281373,0,0.6,125.031,62,31.625
31,233893,0,0.544,160,62,31.625
33,272440,0,0.588,97.027,64,29.2
33,231813,0,0.643,133.041,62,29.2
32,273080,0,0.548,163.005,62,29.2
18,260079,0,0.422,88.004,62,29.2
30,252773,0,0.618,134.041,62,29.2
54,229973,0,0.404,146.58,45,54
34,137893,0,0.517,124.821,101,34
33,192760,0,0.355,195.026,64,33
0,156653,1,0.771,148.062,37,0
38,126757,1,0.723,125.985,40,38
0,213066,0,0.437,161.412,100,14.2
0,213066,0,0.437,161.412,9,14.2
0,359235,0,0.616,124.721,103,14.2
0,213066,0,0.437,161.412,103,14.2
71,366640,0,0.404,133.738,9,14.2
41,248667,0,0.587,85.986,113,41
