"popularity","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
32,178693,0,0.558,107.862,37,32
0,262333,0,0.546,104.083,6,0
32,273080,0,0.548,163.005,62,32
54,229973,0,0.404,146.58,45,54
33,192760,0,0.355,195.026,64,33
0,213066,0,0.437,161.412,100,0
0,359235,0,0.616,124.721,103,0
55,235106,0,0.262,186.227,48,55
54,146737,0,0.428,151.005,39,54
23,208227,0,0.696,134.028,47,26.5
30,205116,0,0.449,172.06,47,26.5
35,107053,0,0.412,126.578,101,35
23,100500,1,0.795,80.037,42,23
30,155400,0,0.53,162.108,99,30
70,330760,1,0.795,95.44,38,67
64,223973,1,0.897,97.6,38,67
76,238733,0,0.557,143.994,4,69.6666666666667
53,222506,0,0.498,145.852,45,69.6666666666667
80,233933,0,0.545,99.009,3,69.6666666666667
39,163088,0,0.638,136.939,69,39
3,278133,0,0.361,130.693,20,3
3,278133,0,0.361,130.693,48,3
0,171039,0,0.64,108.062,65,0
62,128769,1,0.772,97.407,34,62
46,121874,1,0.514,80.605,95,46
57,94706,0,0.282,195.042,64,57
18,361813,0,0.676,101.299,112,18
57,233266,0,0.447,140.942,1,57
26,159982,0,0.622,112.149,71,26
5,217473,0,0.75,150.002,25,5
56,220013,0,0.404,168.878,86,56
61,165214,1,0.734,190.011,104,61
21,181573,0,0.574,112.03,51,21
77,290526,0,0.687,152,81,77
64,134204,0,0.697,119.835,82,64
58,273228,0,0.828,141.096,82,58
12,51200,0,0.762,187.874,11,12
56,178546,0,0.696,136.053,1,56
40,278192,0,0.503,140.063,29,40
31,216000,0,0.757,100.039,14,31
78,198053,0,0.72,119.896,54,78
54,217173,1,0.599,93.941,104,54
66,186426,0,0.787,120.701,107,29.4
1,188320,0,0.647,75.978,107,29.4
3,295280,0,0.429,125.613,107,29.4
77,213266,0,0.749,137.547,107,29.4
0,231093,0,0.512,100.542,107,29.4
59,351425,0,0.365,103.643,82,59
15,173133,0,0.463,107.55,43,15
33,37500,0,0.686,127.909,111,31
29,48695,0,0.66,138.065,111,31
51,211002,0,0.64,138.04,111,51
21,394829,0,0.712,125,111,25
29,236502,0,0.543,124.973,111,25
64,266040,0,0.576,94.853,48,67.6666666666667
73,317426,0,0.457,141.038,48,67.6666666666667
66,210880,0,0.529,127.316,48,67.6666666666667
55,287466,0,0.402,167.973,51,44
22,305546,0,0.531,129.037,51,44
55,324746,0,0.523,120.004,51,44
38,384240,0,0.552,75.008,6,38
28,425386,0,0.677,145.022,111,28
42,170125,0,0.507,132.131,1,42
57,75969,0,0.337,140.004,5,57
59,210972,0,0.527,82.464,3,59
23,189035,0,0.616,105.126,8,23
33,458836,0,0.745,123.999,24,33
49,167612,0,0.32,154.938,50,49
74,295502,0,0.578,78.991,12,67
60,348625,0,0.382,113.072,12,67
64,190133,1,0.405,170.023,45,64
67,221988,0,0.645,162.037,81,67
64,173373,0,0.524,89.015,63,64
48,171130,0,0.75,114.969,37,48
7,310891,0,0.626,89.99,14,7
23,261977,0,0.741,89.03,42,23
36,228645,0,0.67,141.974,6,36
21,280173,0,0.532,90.289,109,19
21,165051,0,0.63,106.427,109,19
18,192906,0,0.633,112.516,109,19
16,128615,0,0.625,129.045,109,19
50,424431,0,0.728,124.005,110,50
42,167812,0,0.651,127.979,49,42
2,179199,0,0.709,125.94,84,2
69,197760,1,0.802,166.01,19,71.5
74,328666,1,0.927,99.053,19,71.5
51,274314,0,0.513,102.465,23,51
40,204878,0,0.699,82.025,113,40
44,175263,0,0.483,73.991,88,46.5
49,231000,0,0.494,89.506,88,46.5
43,264731,0,0.646,124.016,74,43
42,263524,0,0.45,149.267,46,42
61,235160,0,0.675,93.917,63,63
51,294760,0,0.525,82.044,6,63
77,184893,0,0.367,170.863,64,63
49,337533,0,0.608,139.647,112,49
52,194946,0,0.405,134.782,111,52
44,278453,0,0.821,101.118,113,44
4,213666,0,0.796,180.03,105,4
37,227571,0,0.748,129.998,113,37
54,290813,0,0.497,169.995,6,54
43,166054,0,0.573,144.042,97,43
40,83517,1,0.694,98.084,97,40
48,283386,0,0.319,178.081,62,48
58,221044,0,0.544,79.993,52,58
30,218673,1,0.684,89.908,42,30
28,231493,0,0.576,155.292,62,28
72,148160,0,0.606,174.533,20,72
37,140413,0,0.241,156.021,27,35.5
34,71699,0,0.359,120.817,27,35.5
20,38040,0,0.224,117.235,99,23
26,86093,0,0.0791,81.648,27,23
26,296706,0,0.0895,81.406,99,26
50,262640,0,0.65,125.924,13,36
22,209000,0,0.727,107.266,13,36
66,132597,0,0.773,123.975,32,66
65,198880,0,0.655,98.005,54,65
56,165335,0,0.427,149.802,32,56
54,216053,0,0.521,89.952,32,54
61,205306,0,0.568,130.746,108,42.5
24,220826,0,0.693,119.379,108,42.5
18,181844,0,0.779,128.057,74,18
28,243387,0,0.717,93.048,96,28
15,189253,0,0.494,111.962,109,15
38,331048,0,0.237,89.009,7,38
47,424786,0,0.326,105.032,75,47
37,274480,0,0.358,93.933,97,37
38,259041,0,0.517,139.867,41,38
1,163613,0,0.448,121.15,32,2
3,163613,0,0.448,121.15,32,2
0,192551,0,0.815,101.006,91,0
0,240413,1,0.83,97.993,89,0
0,236866,0,0.63,147.882,68,0
66,175517,0,0.309,180.979,32,22
0,211013,0,0.535,77.054,32,22
0,211013,0,0.535,77.054,32,22
60,181946,0,0.626,128.078,26,60
56,161320,0,0.754,124.993,24,56
51,174540,0,0.759,123.059,24,51
46,218760,0,0.62,87.867,71,46
42,260970,0,0.669,103.022,18,42
2,302346,0,0.539,92.306,94,2
43,229293,0,0.416,138.215,78,43
33,182577,0,0.539,143.717,5,33
23,171066,0,0.655,121.06,109,23
20,173146,0,0.458,128.32,109,20
21,210706,0,0.376,122.266,109,21
24,182293,0,0.569,129.678,109,24
22,174792,0,0.466,125.354,109,22
41,183445,0,0.592,123.009,24,41
25,257053,0,0.882,88.665,112,25
76,209266,0,0.653,126.928,72,76
44,167137,0,0.611,110.039,10,44
0,215466,0,0.26,128.051,60,0
0,289149,0,0.275,126.95,60,0
0,580780,0,0.222,127.476,60,0
23,213213,0,0.466,81.433,8,23
16,300515,0,0.689,171.974,28,16
51,389906,0,0.489,117.955,66,49.5
48,291240,0,0.569,95.184,66,49.5
44,318546,0,0.622,128.844,66,46
48,335000,0,0.712,114.975,66,46
48,373186,0,0.329,176.143,66,48
42,314017,1,0.755,125.927,61,42
1,193151,0,0.449,171.016,87,19.75
77,182826,0,0.459,181.04,87,19.75
0,193151,0,0.449,171.016,86,19.75
1,193151,0,0.449,171.016,86,19.75
2,158704,0,0.739,124.921,24,2
2,158704,0,0.739,124.921,31,2
41,250322,1,0.518,90.088,40,41
23,115960,0,0.555,146.969,51,25
25,210132,0,0.203,165.342,51,25
33,253026,0,0.42,125.885,51,25
23,220266,0,0.427,132.008,51,25
25,250565,0,0.312,84.636,51,25
21,211559,0,0.248,66.38,51,25
38,192949,0,0.733,111.903,63,38
0,196853,0,0.57,139.348,104,0
60,144193,0,0.727,123.955,54,60
55,226889,0,0.519,128.059,111,55
58,157411,1,0.44,170.196,49,58
6,325859,0,0.121,96.548,60,10.5
15,342000,0,0.134,77.296,60,10.5
8,265777,0,0.084,85.446,60,10.5
13,415000,0,0.157,94.337,60,10.5
10,112689,0,0.142,95.287,60,10.5
11,460068,0,0.106,91.757,60,10.5
8,440405,0,0.0845,84.997,60,8.5
9,385000,0,0.0921,75.063,60,8.5
60,259133,0,0.276,172.326,45,55.5
55,243622,0,0.376,163.956,45,55.5
58,298600,0,0.356,162.397,72,55.5
49,378313,0,0.447,86.469,45,55.5
12,302920,0,0.799,125.997,55,12
10,494333,0,0.397,103.282,55,10
10,305506,0,0.279,70.441,55,10
10,2218626,0,0.199,61.14,55,10
0,193013,0,0.729,91.99,69,0
0,141026,0,0.609,152.166,15,0
26,325594,0,0.906,142.987,29,26
60,197666,0,0.523,150.025,42,60
43,248571,0,0.614,125.755,100,43
57,145056,0,0.589,165.799,1,53.5
50,196724,0,0.49,167.573,1,53.5
33,196853,0,0.589,144.012,37,33
42,397500,0,0.793,127.993,74,42
34,621175,0,0.454,115.006,74,34
48,401626,0,0.635,131.001,74,48
46,241093,0,0.695,153.026,75,46
23,272520,0,0.431,105.017,109,23
0,252239,0,0.653,123.188,20,0
9,362626,0,0.83,117.004,55,9
27,263706,0,0.768,82.033,96,27
65,232505,0,0.688,110.019,81,65
63,261918,0,0.567,91.999,81,63
58,270253,0,0.506,129.704,23,58
49,337506,0,0.575,136.025,112,47
45,353426,0,0.614,165.051,112,47
58,103493,0,0.777,139.888,79,58
