"popularity","valence","duration_ms","explicit","danceability","tempo","genre_numeric","popularity_artist"
0,0.734,0,0,0.501,138.391,66,0
32,0.544,178693,0,0.558,107.862,37,31.5714285714286
30,0.419,203360,0,0.653,118.05,37,31.5714285714286
31,0.182,211773,0,0.253,65.165,37,31.5714285714286
32,0.447,225320,0,0.658,104.079,37,31.5714285714286
30,0.641,188906,0,0.707,103.887,37,31.5714285714286
33,0.436,192960,0,0.553,108.253,37,31.5714285714286
33,0.333,388159,0,0.575,114.251,37,31.5714285714286
20,0.286,281493,0,0.533,100.002,59,20
41,0.329,138875,0,0.857,84.997,106,23
5,0.501,135860,0,0.784,84.997,106,23
40,0.88,176866,0,0.65,123.674,85,40
40,0.88,176866,0,0.65,123.674,39,40
40,0.88,176866,0,0.65,123.674,86,40
40,0.88,176866,0,0.65,123.674,87,40
61,0.429,203777,1,0.715,97.214,104,61
30,0.323,308133,0,0.384,81.587,99,30
28,0.411,261266,0,0.611,106.639,108,28
55,0.957,38144,0,0.629,93.937,15,57.5
60,0.873,57789,0,0.781,182.148,15,57.5
22,0.844,182733,0,0.539,145.431,19,26.3333333333333
26,0.426,241720,0,0.593,120.372,19,26.3333333333333
21,0.92,83026,0,0.723,132.218,19,26.3333333333333
26,0.688,536786,0,0.56,135.939,19,26.3333333333333
22,0.855,183333,0,0.661,130.758,19,26.3333333333333
25,0.961,134160,0,0.57,79.96,19,26.3333333333333
24,0.829,193813,0,0.651,149.894,19,26.3333333333333
24,0.692,650986,0,0.751,108.061,19,26.3333333333333
29,0.704,210306,0,0.738,94.674,19,26.3333333333333
22,0.739,407480,0,0.724,100.421,19,26.3333333333333
24,0.569,255373,0,0.78,128.505,19,26.3333333333333
58,0.483,202920,0,0.728,80.902,19,26.3333333333333
23,0.557,67840,0,0.638,114.985,19,26.3333333333333
26,0.866,220906,0,0.661,94.046,19,26.3333333333333
23,0.907,130293,0,0.544,144.354,19,26.3333333333333
22,0.267,432133,0,0.41,100.035,7,22
80,0.645,174386,0,0.755,124.032,66,72
70,0.482,195866,0,0.794,109.97,66,72
66,0.233,197320,0,0.384,95.027,66,72
26,0.324,233226,0,0.544,90.814,59,24.4117647058824
22,0.439,262520,1,0.607,136.511,59,24.4117647058824
22,0.163,125706,1,0.679,137.019,59,24.4117647058824
24,0.568,270120,1,0.635,179.959,59,24.4117647058824
26,0.584,300053,1,0.603,199.887,59,24.4117647058824
24,0.414,240000,0,0.67,96.13,59,24.4117647058824
23,0.68,118946,1,0.611,125.156,59,24.4117647058824
26,0.55,212906,1,0.591,139.897,59,24.4117647058824
25,0.736,242800,0,0.607,102.051,59,24.4117647058824
22,0.533,194626,0,0.577,115.25,59,24.4117647058824
24,0.689,237480,1,0.608,107.502,59,24.4117647058824
23,0.501,184960,0,0.644,101.966,59,24.4117647058824
28,0.365,222733,0,0.705,111.025,59,24.4117647058824
22,0.738,242960,1,0.523,102.863,59,24.4117647058824
25,0.504,222226,0,0.636,95.06,59,24.4117647058824
26,0.494,268000,1,0.597,103.945,59,24.4117647058824
27,0.484,194800,1,0.581,115.226,59,24.4117647058824
26,0.606,240266,1,0.371,175.154,59,26
23,0.754,254026,0,0.678,90.869,59,23
22,0.285,447386,0,0.508,105.014,59,22
0,0.658,260693,0,0.538,134.014,6,21
31,0.434,269480,1,0.31,178.192,64,21
0,0.658,260693,0,0.538,134.014,64,21
0,0.473,262333,0,0.546,104.083,64,21
32,0.519,241173,1,0.554,97.472,6,21
0,0.473,262333,0,0.546,104.083,6,21
57,0.514,210966,0,0.493,97.488,6,21
0,0.473,262333,0,0.546,104.083,63,21
32,0.309,260506,1,0.47,127.911,64,21
57,0.514,210966,0,0.493,97.488,64,21
0,0.658,260693,0,0.538,134.014,63,21
32,0.519,241173,1,0.554,97.472,64,21
32,0.309,260506,1,0.47,127.911,6,21
56,0.834,100562,0,0.726,76.977,16,58.5
61,0.889,108078,0,0.87,80.087,16,58.5
65,0.714,298663,0,0.607,164.993,63,41.6666666666667
59,0.813,219643,0,0.71,109.054,63,41.6666666666667
1,0.714,298663,0,0.607,164.993,63,41.6666666666667
56,0.698,298663,0,0.603,164.999,63,56
50,0.156,385103,0,0.772,120,24,50
34,0.908,104000,0,0.58,149.908,15,34
27,0.336,91436,0,0.642,167.936,106,35.5
44,0.184,115200,0,0.662,74.995,106,35.5
37,0.605,323186,0,0.424,173.948,63,31.3958333333333
36,0.563,251493,0,0.5,163.998,64,31.3958333333333
20,0.503,246146,0,0.416,173.912,62,31.3958333333333
36,0.563,251493,0,0.5,163.998,63,31.3958333333333
24,0.354,83386,0,0.411,142.019,62,31.3958333333333
36,0.77,230586,0,0.538,95.029,62,31.3958333333333
33,0.677,292533,0,0.622,141.085,64,31.3958333333333
36,0.77,230586,0,0.538,95.029,64,31.3958333333333
25,0.349,284560,0,0.574,129.97,62,31.3958333333333
28,0.612,268946,0,0.52,143.062,62,31.3958333333333
30,0.772,254293,0,0.519,153.925,62,31.3958333333333
30,0.791,253626,0,0.547,197.712,62,31.3958333333333
32,0.651,247826,0,0.429,158.031,64,31.3958333333333
36,0.563,251493,0,0.5,163.998,62,31.3958333333333
33,0.576,283640,0,0.503,159.022,62,31.3958333333333
31,0.889,210466,0,0.748,126.035,62,31.3958333333333
31,0.524,215566,0,0.592,95.993,62,31.3958333333333
34,0.492,224680,0,0.577,96.467,62,31.3958333333333
38,0.618,246546,0,0.415,158.048,64,31.3958333333333
33,0.677,292533,0,0.622,141.085,62,31.3958333333333
32,0.538,262092,0,0.5,167.171,62,31.3958333333333
36,0.909,211373,0,0.552,125.024,62,31.3958333333333
31,0.734,273266,0,0.662,132.014,62,31.3958333333333
32,0.728,291840,0,0.504,158.007,62,31.3958333333333
33,0.576,283640,0,0.503,159.022,64,31.3958333333333
38,0.618,246546,0,0.415,158.048,63,31.3958333333333
32,0.651,247826,0,0.429,158.031,62,31.3958333333333
19,0.243,302586,0,0.574,97.996,62,31.3958333333333
30,0.61,295813,0,0.421,165.039,62,31.3958333333333
29,0.783,189306,0,0.686,95.535,62,31.3958333333333
36,0.909,211373,0,0.552,125.024,64,31.3958333333333
31,0.864,233893,0,0.544,160,62,31.3958333333333
29,0.152,256200,0,0.53,142.959,62,31.3958333333333
34,0.492,224680,0,0.577,96.467,64,31.3958333333333
31,0.485,242626,0,0.537,154.014,62,31.3958333333333
33,0.565,281373,0,0.6,125.031,62,31.3958333333333
18,0.821,210053,0,0.493,175.054,62,31.3958333333333
38,0.618,246546,0,0.415,158.048,62,31.3958333333333
26,0.58,211613,0,0.537,161.998,62,31.3958333333333
37,0.605,323186,0,0.424,173.948,64,31.3958333333333
30,0.638,268946,0,0.519,143.065,62,31.3958333333333
33,0.565,281373,0,0.6,125.031,64,31.3958333333333
37,0.605,323186,0,0.424,173.948,62,31.3958333333333
27,0.73,215213,0,0.728,130.018,62,31.3958333333333
32,0.728,291840,0,0.504,158.007,64,31.3958333333333
32,0.538,262092,0,0.5,167.171,64,31.3958333333333
26,0.696,243613,0,0.687,122.596,62,31.3958333333333
26,0.672,309213,0,0.426,161.93,62,31.3958333333333
31,0.632,258252,0,0.473,162.904,62,31
31,0.623,216773,0,0.514,171.989,62,31
26,0.212,265760,0,0.535,80.008,62,31
31,0.53,289546,0,0.625,145.011,62,31
18,0.141,260079,0,0.422,88.004,62,31
35,0.55,244413,0,0.401,183.06,62,31
22,0.793,224720,0,0.796,131.027,62,31
33,0.818,280693,0,0.516,83.933,62,31
35,0.55,244413,0,0.401,183.06,64,31
33,0.511,254133,0,0.485,173.917,64,31
33,0.678,272440,0,0.588,97.027,62,31
32,0.788,273080,0,0.548,163.005,62,31
36,0.638,269746,0,0.486,160.011,62,31
33,0.732,231813,0,0.643,133.041,62,31
32,0.876,241706,0,0.452,181.886,62,31
30,0.735,252773,0,0.618,134.041,62,31
33,0.678,272440,0,0.588,97.027,64,31
27,0.337,90826,0,0.349,151.002,62,31
33,0.511,254133,0,0.485,173.917,62,31
33,0.732,231813,0,0.643,133.041,64,31
33,0.818,280693,0,0.516,83.933,64,31
36,0.638,269746,0,0.486,160.011,64,31
27,0.551,243946,0,0.55,91.492,62,31
58,0.124,190868,1,0.609,118.047,34,58
39,0.23,134506,0,0.744,148.26,106,39
43,0.283,128785,0,0.821,74.997,106,43
32,0.0582,113573,0,0.42,112.643,64,32
21,0.693,204000,1,0.693,159.9,19,21
60,0.234,215840,0,0.448,157.975,45,43.5
54,0.361,229973,0,0.404,146.58,45,43.5
30,0.327,199680,0,0.468,164.035,45,43.5
30,0.359,221653,0,0.409,153.955,45,43.5
34,0.654,137893,0,0.517,124.821,64,33.3333333333333
34,0.654,137893,0,0.517,124.821,101,33.3333333333333
32,0.623,138893,0,0.477,106.724,64,33.3333333333333
33,0.32,192760,0,0.355,195.026,64,33
0,0.607,156653,1,0.771,148.062,37,0
0,0.491,235538,1,0.779,139.976,37,0
38,0.415,126757,1,0.723,125.985,40,38
39,0.364,190133,1,0.733,79.979,40,39
37,0.648,159811,0,0.819,75.027,40,37
0,0.683,213066,0,0.437,161.412,103,14
0,0.683,213066,0,0.437,161.412,9,14
0,0.622,359235,0,0.616,124.721,35,14
69,0.892,267946,0,0.837,104.995,9,14
0,0.622,359235,0,0.616,124.721,103,14
71,0.164,366640,0,0.404,133.738,9,14
0,0.622,359235,0,0.616,124.721,100,14
0,0.683,213066,0,0.437,161.412,100,14
0,0.683,213066,0,0.437,161.412,35,14
0,0.622,359235,0,0.616,124.721,9,14
61,0.259,237266,0,0.359,84.366,58,61
41,0.366,248667,0,0.587,85.986,113,41
59,0.468,184426,0,0.2,93.977,48,54.8888888888889
53,0.525,179066,0,0.531,96.925,45,54.8888888888889
52,0.48,202333,0,0.229,172.129,45,54.8888888888889
